Apartment.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
14.926, 15.0281, 15.1049, 13.0967, 15.4538, 15.1841, 20.8376, 13.3318
1.94702, 1.37888, 1.95903, 1.11652, 1.98924, 1.40378, 2.22514, 1.0944
7.96018, 1.84828, 2.59479, 1.40234, 8.35794, 1.51469, 3.62873, 1.35056
5.00806, 2.55229, 4.05587, 1.91388, 4.63011, 2.37308, 27.2966, 2889.19
15.2425, 12.1577, 13.3499, 12.1804, 15.0545, 13.0868, 2640.39, 3310.65
38.5491, 40.3638, 43.3427, 34.9507, 38.2497, 40.0618, 37.0076, 37.9892
4.1474, 1.64848, 2.57089, 1.67138, 3.80756, 2.10149, 2.09212, 1.77868
1.90096, 2.09594, 2.53542, 3.56269, 1.99453, 1.92862, 2.80124, 3.72327
9.23138, 10.1345, 9.36961, 8.37778, 9.00512, 9.03446, 10.5292, 12.0318
14.6545, 4.0502, 7.17651, 4.91996, 14.3687, 4.39783, 53.2302, 5.09137
36.0827, 15.3338, 12.1152, 25.9335, 32.4545, 18.6344, 411.563, 98.9299
16.1813, 10.0667, 13.5721, 10.376, 13.5587, 10.5219, 34.5716, 31.2985
4.73434, 2.38146, 5.98185, 2.26312, 3.82015, 2.6035, 3.21997, 2.41481
23.3909, 5.36543, 8.49527, 5.33086, 25.7635, 7.71918, 13.1641, 6.34082
3.49215, 1.93916, 1.98112, 1.47678, 3.42111, 2.92091, 7.65889, 8.70908

Kitchen.littleTexture.pan
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
1.29321, 1.25037, 1.20514, 1.43362, 1.0464, 1.18489, 2.26868, 1.61428
0.709554, 0.892386, 0.471962, 0.765759, 0.648358, 1.06811, 5.10215, 1.38943
1.55304, 1.07382, 1.29443, 1.12848, 1.52968, 1.01756, 2.1248, 1.20459
0.26632, 0.396371, 0.231154, 0.232742, 0.194732, 0.233819, 0.377058, 0.265805
0.291887, 0.238742, 0.270824, 0.272763, 0.291493, 0.33103, 0.270327, 0.263059
0.432596, 0.872487, 0.377173, 0.364401, 0.446701, 0.480334, 0.315384, 0.345045
1.56068, 2.7915, 1.49671, 2.08196, 0.691558, 1.25898, 1.41235, 2.02837
0.412667, 1.45665, 0.360602, 0.27056, 0.583901, 0.36467, 0.387233, 0.460273
0.632292, 0.384583, 0.686234, 0.597739, 0.591125, 0.511822, 0.641386, 0.730708
0.304037, 0.265114, 0.308191, 0.216758, 0.259808, 0.317508, 0.260666, 0.458179
0.699207, 0.562034, 0.464775, 0.959758, 0.48352, 0.337368, 0.333012, 0.581071
4.96842, 1.09765, 3.17134, 2.42042, 2.8163, 1.25137, 2.48995, 6.05994
1.83907, 2.3043, 1.93352, 0.913977, 2.05745, 1.59598, 607.884, 1.3765
0.990618, 13.4577, 0.991208, 0.630494, 1.01377, 0.562855, 1.78986, 1.55585
1.0513, 1.63523, 1.32187, 0.524741, 1.10362, 0.463484, 1.11244, 0.738853
1.52159, 0.784183, 1.44317, 0.987586, 1.7185, 0.750552, 994.216, 1.07865
1.64388, 0.796645, 1.74433, 0.971897, 1.59601, 0.83439, 1.00748, 0.623012
1.04539, 1.32215, 1.07682, 1.14326, 1.25798, 0.542743, 0.903247, 0.793317
1.00176, 0.573687, 0.986401, 0.385674, 1.0884, 0.505134, 1.27517, 0.80015
1.16968, 6.24485, 0.950467, 0.872532, 2.12044, 0.752795, 3.75095, 0.932262
